udaj,kod,url,budid,idob
V Informačním systému katastru nemovitostí:,892443101,buddet.jsp?budid=220095&idob=1000158381&b=0,220095,1000158381
V informačním systému základního registru RÚIAN:,21782148,buddet.jsp?budid=220095&idob=1000158381&b=0,220095,1000158381
V Registru sčítacích obvodů a budov:,1000158616,buddet.jsp?budid=220116&idob=1000158616&b=0,220116,1000158616
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220116&idob=1000158616&b=0,220116,1000158616
V Informačním systému katastru nemovitostí:,893329101,buddet.jsp?budid=220116&idob=1000158616&b=0,220116,1000158616
V informačním systému základního registru RÚIAN:,30715091,buddet.jsp?budid=220116&idob=1000158616&b=0,220116,1000158616
V Registru sčítacích obvodů a budov:,1000158624,buddet.jsp?budid=220117&idob=1000158624&b=0,220117,1000158624
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220117&idob=1000158624&b=0,220117,1000158624
V Informačním systému katastru nemovitostí:,892542101,buddet.jsp?budid=220117&idob=1000158624&b=0,220117,1000158624
V informačním systému základního registru RÚIAN:,21782369,buddet.jsp?budid=220117&idob=1000158624&b=0,220117,1000158624
V Registru sčítacích obvodů a budov:,1000163466,buddet.jsp?budid=220532&idob=1000163466&b=0,220532,1000163466
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220532&idob=1000163466&b=0,220532,1000163466
V Informačním systému katastru nemovitostí:,892860101,buddet.jsp?budid=220532&idob=1000163466&b=0,220532,1000163466
V informačním systému základního registru RÚIAN:,21787221,buddet.jsp?budid=220532&idob=1000163466&b=0,220532,1000163466
V Registru sčítacích obvodů a budov:,1000164560,buddet.jsp?budid=220637&idob=1000164560&b=0,220637,1000164560
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220637&idob=1000164560&b=0,220637,1000164560
V Informačním systému katastru nemovitostí:,893480101,buddet.jsp?budid=220637&idob=1000164560&b=0,220637,1000164560
V informačním systému základního registru RÚIAN:,21788324,buddet.jsp?budid=220637&idob=1000164560&b=0,220637,1000164560
V Registru sčítacích obvodů a budov:,1000164578,buddet.jsp?budid=220638&idob=1000164578&b=0,220638,1000164578
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=220638&idob=1000164578&b=0,220638,1000164578
V Informačním systému katastru nemovitostí:,893481101,buddet.jsp?budid=220638&idob=1000164578&b=0,220638,1000164578
V informačním systému základního registru RÚIAN:,21788332,buddet.jsp?budid=220638&idob=1000164578&b=0,220638,1000164578
V Registru sčítacích obvodů a budov:,1000154777,buddet.jsp?budid=219778&idob=1000154777&b=0,219778,1000154777
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=219778&idob=1000154777&b=0,219778,1000154777
V Informačním systému katastru nemovitostí:,892221101,buddet.jsp?budid=219778&idob=1000154777&b=0,219778,1000154777
V informačním systému základního registru RÚIAN:,21778523,buddet.jsp?budid=219778&idob=1000154777&b=0,219778,1000154777
V Registru sčítacích obvodů a budov:,1000155188,buddet.jsp?budid=219815&idob=1000155188&b=0,219815,1000155188
Pořadové číslo budovy (vchodu):,1,buddet.jsp?budid=219815&idob=1000155188&b=0,219815,1000155188
V Informačním systému katastru nemovitostí:,892556101,buddet.jsp?budid=219815&idob=1000155188&b=0,219815,1000155188
V informačním systému základního registru RÚIAN:,21778931,buddet.jsp?budid=219815&idob=1000155188&b=0,219815,1000155188
