udaj,kod,text,idob,budid
Městský obvod Prahy,43,Praha 4,1000153932,219703
Obec,554782,Praha,1000153932,219703
Část obce,490156,Nusle,1000153932,219703
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000153932,219703
PSČ a adresní pošta,14000,Praha 4,1000153932,219703
Ulice,458651,Na Pankráci,1000153932,219703
Číslo domovní,322,číslo popisné,1000153932,219703
Číslo orientační,26,,1000153932,219703
Typ adresy,1,Hlavní adresa,1000153932,219703
Zadní vchod,0,ne,1000153932,219703
Identifikátor adresy RSO (IDADR),30000508586,,1000153932,219703
Identifikátor adresy ISEO (PČD),2470972,,1000153932,219703
Identifikátor adresy RÚIAN,21943354,,1000153932,219703
Okres,40924,Praha,1000154033,219715
Městský obvod Prahy,43,Praha 4,1000154033,219715
Obec,554782,Praha,1000154033,219715
Část obce,490156,Nusle,1000154033,219715
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000154033,219715
PSČ a adresní pošta,14000,Praha 4,1000154033,219715
Ulice,444570,Marie Cibulkové,1000154033,219715
Číslo domovní,334,číslo popisné,1000154033,219715
Číslo orientační,22,,1000154033,219715
Typ adresy,1,Hlavní adresa,1000154033,219715
Zadní vchod,0,ne,1000154033,219715
Identifikátor adresy RSO (IDADR),30000508675,,1000154033,219715
Identifikátor adresy ISEO (PČD),2470983,,1000154033,219715
Identifikátor adresy RÚIAN,21943460,,1000154033,219715
Okres,40924,Praha,1000154041,219716
Městský obvod Prahy,43,Praha 4,1000154041,219716
Obec,554782,Praha,1000154041,219716
Část obce,490156,Nusle,1000154041,219716
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000154041,219716
PSČ a adresní pošta,14000,Praha 4,1000154041,219716
Ulice,444570,Marie Cibulkové,1000154041,219716
Číslo domovní,335,číslo popisné,1000154041,219716
Číslo orientační,24,,1000154041,219716
Typ adresy,1,Hlavní adresa,1000154041,219716
Zadní vchod,0,ne,1000154041,219716
Identifikátor adresy RSO (IDADR),30000508683,,1000154041,219716
Identifikátor adresy ISEO (PČD),2470984,,1000154041,219716
Identifikátor adresy RÚIAN,21943478,,1000154041,219716
Okres,40924,Praha,1000154149,219726
Městský obvod Prahy,43,Praha 4,1000154149,219726
Obec,554782,Praha,1000154149,219726
Část obce,490156,Nusle,1000154149,219726
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000154149,219726
PSČ a adresní pošta,14000,Praha 4,1000154149,219726
Ulice,444570,Marie Cibulkové,1000154149,219726
Číslo domovní,346,číslo popisné,1000154149,219726
Číslo orientační,28,,1000154149,219726
Typ adresy,1,Hlavní adresa,1000154149,219726
Zadní vchod,0,ne,1000154149,219726
Identifikátor adresy RSO (IDADR),30000508772,,1000154149,219726
Identifikátor adresy ISEO (PČD),2470996,,1000154149,219726
Identifikátor adresy RÚIAN,21943575,,1000154149,219726
Okres,40924,Praha,1000154190,219731
Městský obvod Prahy,43,Praha 4,1000154190,219731
Obec,554782,Praha,1000154190,219731
Část obce,490156,Nusle,1000154190,219731
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000154190,219731
PSČ a adresní pošta,14000,Praha 4,1000154190,219731
Ulice,444570,Marie Cibulkové,1000154190,219731
Číslo domovní,351,číslo popisné,1000154190,219731
Číslo orientační,26,,1000154190,219731
Typ adresy,1,Hlavní adresa,1000154190,219731
Zadní vchod,0,ne,1000154190,219731
Identifikátor adresy RSO (IDADR),30000508811,,1000154190,219731
Identifikátor adresy ISEO (PČD),2471002,,1000154190,219731
Identifikátor adresy RÚIAN,21943621,,1000154190,219731
Okres,40924,Praha,1000154262,685141
Městský obvod Prahy,43,Praha 4,1000154262,685141
Obec,554782,Praha,1000154262,685141
Část obce,490156,Nusle,1000154262,685141
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000154262,685141
PSČ a adresní pošta,14000,Praha 4,1000154262,685141
Ulice,444570,Marie Cibulkové,1000154262,685141
Číslo domovní,359,číslo popisné,1000154262,685141
Číslo orientační,20,,1000154262,685141
Typ adresy,1,Hlavní adresa,1000154262,685141
Zadní vchod,0,ne,1000154262,685141
Identifikátor adresy RSO (IDADR),30000508888,,1000154262,685141
Identifikátor adresy ISEO (PČD),2470947,,1000154262,685141
Identifikátor adresy RÚIAN,21943699,,1000154262,685141
Okres,40924,Praha,1000154904,219790
Městský obvod Prahy,43,Praha 4,1000154904,219790
Obec,554782,Praha,1000154904,219790
Část obce,490156,Nusle,1000154904,219790
"Městský obvod, městská část (Prahy či statutárního města)",500119,Praha 4,1000154904,219790
PSČ a adresní pošta,14000,Praha 4,1000154904,219790
Ulice,444570,Marie Cibulkové,1000154904,219790
Číslo domovní,450,číslo popisné,1000154904,219790
Číslo orientační,13,,1000154904,219790
Typ adresy,1,Hlavní adresa,1000154904,219790
Zadní vchod,0,ne,1000154904,219790
Identifikátor adresy RSO (IDADR),30000511650,,1000154904,219790
Identifikátor adresy ISEO (PČD),2471077,,1000154904,219790
Identifikátor adresy RÚIAN,21944334,,1000154904,219790
Okres,40924,Praha,1000158047,685154
Městský obvod Prahy,43,Praha 4,1000158047,685154
Obec,554782,Praha,1000158047,685154
Část obce,490156,Nusle,1000158047,685154
