Údaj,Hodnota,Kód,Text,url,budid,idob
Připojení budovy na vodovod:,NA,1,s vodovodem,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Způsob vytápění budovy:,NA,4,jiné (i bez topení),buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Připojení budovy na plyn:,NA,3,Bez plynu,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Druh plynu:,NA,NA,,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Topné médium - hlavní:,NA,NA,,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Topné médium - vedlejší:,NA,NA,,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Počet evidovaných obyvatel v budově:,NA,5,10-14,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Druh domu dle SLDB:,NA,4,Bytový dům,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Počet nadzemních podlaží domu dle SLDB:,NA,4,4 podlaží,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Druh vlastníka domu dle SLDB:,NA,9,Nezjištěno,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Způsob vytápění domu dle SLDB:,NA,8,Bez ústředního topení,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Připojení domu na vodovod dle SLDB:,NA,1,Vodovod v domě - z veřejné sítě,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Období výstavby nebo rekonstrukce domu dle SLDB:,NA,3,1920-1945,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Počet obyvatel v budově dle SLDB - trvalý pobyt:,NA,6,15-19,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Počet obyvatel v budově dle SLDB - obvyklý pobyt:,NA,5,10-14,buddet.jsp?budid=211787&idob=1000055311&b=0,211787,1000055311
Druh vlastníka budovy:,NA,4,ostatní právnické osoby,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Počet všech podlaží budovy:,5,5,5 podlaží,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Počet bytů v budově (vchodu):,9,6,7-9 bytů,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Vybavení budovy výtahem:,NA,2,bez výtahu,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Obestavěný prostor budovy v m3:,NA,NA,,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Zastavěná plocha budovy v m2:,NA,NA,,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Podlahová plocha budovy v m2:,NA,NA,,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Materiál nosných zdí budovy:,NA,10,"Kámen, cihly, tvárnice vč. kombinací",buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Připojení budovy na odpad:,NA,1,Přípoj na kanalizační síť,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Připojení budovy na vodovod:,NA,1,s vodovodem,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Způsob vytápění budovy:,NA,1,centrální domovní (kotel ve stavbě),buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Připojení budovy na plyn:,NA,1,Plyn z veřejné sítě,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Druh plynu:,NA,NA,,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Topné médium - hlavní:,NA,NA,,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Topné médium - vedlejší:,NA,NA,,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Počet evidovaných obyvatel v budově:,NA,5,10-14,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Druh domu dle SLDB:,NA,4,Bytový dům,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Počet nadzemních podlaží domu dle SLDB:,NA,5,5 podlaží,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Druh vlastníka domu dle SLDB:,NA,9,Nezjištěno,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Způsob vytápění domu dle SLDB:,NA,6,Kotelna v domě na plyn,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Připojení domu na vodovod dle SLDB:,NA,1,Vodovod v domě - z veřejné sítě,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Období výstavby nebo rekonstrukce domu dle SLDB:,NA,10,1919 a dříve,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Počet obyvatel v budově dle SLDB - trvalý pobyt:,NA,5,10-14,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Počet obyvatel v budově dle SLDB - obvyklý pobyt:,NA,5,10-14,buddet.jsp?budid=211801&idob=1000055477&b=0,211801,1000055477
Druh vlastníka budovy:,NA,1,fyzická osoba,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Počet všech podlaží budovy:,5,5,5 podlaží,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Počet bytů v budově (vchodu):,9,6,7-9 bytů,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Vybavení budovy výtahem:,NA,2,bez výtahu,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Obestavěný prostor budovy v m3:,NA,NA,,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Zastavěná plocha budovy v m2:,NA,NA,,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
Podlahová plocha budovy v m2:,NA,NA,,buddet.jsp?budid=211809&idob=1000055558&b=0,211809,1000055558
